followers,post_type,hashtags_count,caption_length,likes,comments,shares,saves,posting_day,posting_hour,predicted_reach
7539,2,18,519,494,19,62,303,4,5,4397
45651,2,7,561,5023,223,1707,2113,2,12,89690
20251,1,6,809,1153,43,284,297,0,14,19990
14194,3,15,718,435,27,145,240,5,10,3580
3044,0,18,794,190,20,41,106,5,9,1539
3043,0,5,903,201,22,71,100,0,2,941
1397,2,19,785,87,3,12,38,4,19,2167
30668,1,26,578,1769,154,427,1000,4,8,45318
14286,2,20,307,693,63,78,154,6,9,12761
18968,2,10,619,1260,98,263,751,6,20,25709
811,0,4,146,30,2,7,18,5,22,352
53053,2,15,385,3676,187,943,2087,6,23,55383
27296,1,6,96,3624,268,669,963,6,22,53966
4080,1,26,428,166,10,16,93,1,11,3234
3510,1,4,763,489,18,132,188,5,7,5717
3539,2,10,208,503,43,111,217,4,20,11562
5941,0,14,472,512,38,59,282,4,20,10790
11658,1,2,446,1495,81,531,236,6,20,21175
8983,1,25,319,637,46,230,204,1,16,12078
5663,2,4,605,224,22,74,121,6,21,4891
14695,1,22,763,1577,161,517,850,6,4,18458
2753,0,20,290,96,8,10,53,3,23,2290
5682,1,4,332,368,26,137,83,3,7,6925
7344,1,8,773,969,79,189,471,1,17,9322
9634,2,14,711,473,30,58,101,1,10,4619
23569,1,2,960,2821,116,898,1482,3,21,53418
3841,0,28,951,240,15,34,63,3,9,2048
11330,3,5,161,387,30,90,194,3,14,6362
13962,0,16,311,856,71,97,312,3,5,6650
1213,3,25,287,53,6,11,33,5,18,826
14529,1,20,660,2140,213,518,911,5,16,24022
3304,2,7,697,244,10,50,110,6,22,2961
1508,1,20,17,116,5,11,37,2,9,1551
45105,0,24,816,2548,99,561,1276,6,4,18013
51059,2,10,244,3315,319,714,1274,1,15,33938
25284,2,5,684,1788,167,274,273,0,11,13179
5949,2,7,570,149,17,52,65,2,20,4819
2041,0,9,311,119,9,23,65,0,23,1013
17791,2,23,47,644,67,215,166,0,4,3507
9201,2,28,145,1199,98,129,301,4,20,22779
2452,1,2,831,492,53,83,216,1,0,3788
10753,2,22,430,306,29,39,165,5,1,4182
1024,2,13,228,111,9,21,29,2,4,878
36506,1,22,357,2071,167,224,1236,6,22,33929
4991,0,13,817,313,29,64,186,1,18,3485
16793,1,9,555,919,62,166,221,3,14,20498
6103,0,11,873,414,16,58,112,1,0,2911
11511,1,5,88,737,24,197,357,0,10,11656
12368,1,11,757,861,62,310,522,5,17,13007
3565,0,22,904,96,8,13,46,3,2,999
52892,1,13,282,3075,114,887,1107,1,8,74279
22883,0,1,170,1075,60,320,243,1,23,8088
42576,2,8,696,1033,60,231,380,5,3,10064
34282,2,9,887,1764,142,607,774,0,23,19805
14165,0,25,317,895,49,326,272,6,12,15623
38741,3,16,383,1100,42,202,431,3,8,31373
1889,1,16,985,270,12,72,55,0,2,1516
3772,1,2,742,609,27,166,221,5,15,5626
1194,0,29,18,34,3,6,6,1,21,510
6402,1,30,810,393,21,66,65,6,7,6867
7881,2,18,453,403,38,143,225,2,6,9467
5248,2,0,122,454,36,141,110,2,22,5350
26968,0,11,998,1635,192,178,692,4,16,12329
7118,0,6,214,186,10,20,40,2,15,3553
5447,1,3,414,555,24,195,150,5,20,11929
12236,1,9,707,725,25,72,231,5,21,9894
2778,0,12,862,116,5,32,24,5,17,1518
24807,1,1,206,3622,331,518,602,3,15,32807
1662,2,9,787,76,2,6,43,4,14,1943
65512,2,20,783,5359,278,497,802,3,1,26517
22692,1,21,769,3378,361,631,587,6,19,61947
3823,2,24,124,339,27,33,181,2,3,3240
583,1,3,130,19,0,4,5,6,4,243
25848,1,17,662,3701,126,996,1833,2,6,62804
18906,0,4,74,918,32,171,197,1,14,8973
20084,1,18,285,2714,311,808,703,3,16,48121
22628,3,1,834,858,91,190,362,0,9,9364
1653,1,11,248,86,9,17,53,6,19,3587
7158,1,16,311,343,38,67,61,1,8,6270
2347,1,9,401,281,21,57,95,3,15,3844
30327,0,1,531,604,31,220,99,5,23,9999
15144,2,5,978,1408,93,393,339,4,2,6648
6527,1,7,378,991,93,168,579,6,21,20062
1485,1,28,242,252,27,74,48,3,8,5813
6087,1,18,204,430,29,74,240,4,7,13139
6399,1,10,916,500,39,56,115,6,22,6232
20118,0,30,21,752,85,163,423,4,6,8954
15723,1,24,915,760,30,228,308,6,16,14401
33233,0,30,930,1780,191,335,1016,2,4,12963
10085,2,11,698,920,40,308,200,0,6,8839
2410,2,8,186,182,13,34,93,6,12,4272
19236,2,1,226,1667,82,299,791,3,17,13339
21955,1,7,20,901,75,337,367,0,21,19297
12858,1,25,455,819,65,179,440,4,13,25243
22608,0,10,639,1570,100,497,720,2,17,17926
10712,2,27,173,1087,117,344,619,6,2,12286
11595,1,20,560,1445,129,509,475,0,16,22426
8867,1,3,62,1372,130,137,590,1,18,19609
886,1,9,227,101,4,15,57,4,6,1731
2212,0,20,727,73,7,22,18,1,20,1288
979,1,19,833,67,3,16,25,5,3,525
15675,0,15,369,1030,51,250,629,0,14,19366
6160,2,7,394,237,9,29,88,0,23,2128
11156,1,3,65,1241,86,197,331,0,7,14377
36218,0,28,127,1449,159,335,455,5,15,26023
4801,1,9,909,771,40,121,442,3,0,9155
8424,0,11,262,336,21,46,204,4,15,8207
21631,1,28,807,1190,126,120,720,4,1,12988
4397,2,13,789,130,11,15,62,6,1,1650
1701,0,15,812,59,5,18,23,6,7,1489
5632,2,21,854,455,22,132,105,6,11,5543
3137,0,17,189,121,11,10,24,4,10,2018
40324,0,20,424,1589,80,216,274,3,5,16423
25263,2,21,879,984,116,239,150,0,18,12705
15552,1,20,244,2515,202,432,1435,0,17,35331
31272,0,11,864,1119,103,360,601,5,4,8550
24919,1,17,717,1326,53,411,556,1,14,29736
3597,1,29,829,395,20,135,248,3,7,8711
33962,2,6,89,4290,182,1046,2604,2,5,39748
12126,1,19,656,1970,128,355,910,3,11,32886
25210,2,23,31,1013,56,260,374,5,18,18882
34463,2,22,486,3336,320,339,727,1,11,25713
6240,1,6,852,342,13,26,134,1,11,4658
2248,2,8,449,53,5,4,11,6,8,953
4380,1,0,746,573,19,113,193,6,23,5023
8855,3,25,579,280,13,40,168,1,9,4919
26057,0,5,102,2078,210,253,644,0,21,21050
30070,1,5,201,2763,267,717,603,2,16,52051
604,1,21,112,26,1,9,11,1,17,486
11223,1,28,405,1248,43,160,545,4,15,16006
8604,1,11,16,351,29,83,83,0,3,2669
4267,2,21,649,147,9,16,35,2,17,2716
2415,0,11,576,106,6,37,66,4,2,1358
6678,0,9,240,311,27,50,81,2,15,4533
43446,2,22,883,2727,188,923,1503,5,13,52358
6355,1,29,583,870,33,139,324,2,23,12354
11471,3,25,249,190,21,60,67,4,8,7692
18711,2,5,99,821,82,113,235,3,5,7957
7279,3,16,241,242,8,39,125,2,3,2386
